#main_name,lifetime
001-002-003-004-005-006-007-008,550
001-002-003-004-005-006-007,199
001-002-003-004-005-006-008,21
001-002-003-004-005-007-008,23
001-002-003-004-006-007-008,76
001-002-003-005-006-007-008,59
001-002-004-005-006-007-008,83
001-002-003-004-005-006,5
001-003-004-005-006-007-008,48
001-002-003-004-005-007,8
001-002-003-004-005-008,1
001-002-003-004-006-007,33
002-003-004-005-006-007-008,56
001-002-003-004-006-008,3
001-002-003-005-006-007,17
001-002-003-005-006-008,2
001-002-003-004-007-008,3
001-002-003-005-007-008,3
001-002-003-006-007-008,11
001-002-004-005-006-007,69
001-002-004-005-006-008,3
001-003-004-005-006-007,7
001-003-004-005-006-008,1
001-002-004-005-007-008,4
001-002-004-006-007-008,6
001-003-004-005-007-008,2
002-003-004-005-006-007,32
001-002-003-004-006,3
001-003-004-006-007-008,9
002-003-004-005-006-008,5
001-002-005-006-007-008,12
001-002-003-005-006,1
001-003-005-006-007-008,9
002-003-004-005-007-008,4
001-002-003-004-008,1
002-003-004-006-007-008,9
001-002-003-005-007,1
001-002-003-006-007,4
002-003-005-006-007-008,9
001-002-004-005-006,5
001-004-005-006-007-008,7
001-003-004-005-006,2
001-002-004-005-007,5
001-002-004-006-007,9
002-004-005-006-007-008,5
001-003-004-006-007,2
002-003-004-005-006,2
003-004-005-006-007-008,2
001-002-005-006-007,5
001-002-004-007-008,1
001-003-005-006-007,2
001-003-005-006-008,1
002-003-004-005-007,1
001-003-004-007-008,1
002-003-004-006-007,5
002-003-005-006-007,2
001-002-003-006,1
001-003-006-007-008,2
002-003-006-007-008,3
001-004-005-006-007,4
002-004-005-006-007,12
003-004-005-006-007,4
002-004-005-007-008,1
002-004-006-007-008,1
001-002-005-008,1
003-004-006-007-008,1
002-005-006-007-008,3
001-003-005-007,1
003-005-006-007-008,1
002-003-005-007,2
002-003-006-007,3
002-003-006-008,1
004-005-006-007-008,1
002-004-005-007,1
002-004-006-007,1
003-004-006-007,1
003-005-007-008,1
003-006-007-008,1
002-005-007,1
002-006-007,1
005-006-007,1
005-007,1
