rank=1 frame=  1705 pock_score=  2159.927 pock_space=1578.5097045898438 main_name=001-002-003-004-005-006-007-008 minor_name=009-010-011
id  rank socre   space  mnpr%80   occu  m_occu
 24    1  79.64  249.47    78.00 0.0000 0.0000
122    2  71.21  295.91    58.19 0.0000 0.0000
 48    3  67.27  180.99    85.57 0.0000 0.0000
 72    4  48.69  164.84    86.85 0.0000 0.0000
141    5  44.08  248.39    95.48 0.0000 0.0000
 60    6  42.15  151.63    72.42 0.0000 0.0000
 83    7  35.77   79.81    45.28 0.0000 0.0000
 39    8  34.91  141.41    59.22 0.0000 0.0000
 97   10  16.96   66.06    72.70 0.0000 0.0000
 57   13   8.77   29.65    94.91 0.0000 0.0000
134   14   8.04   37.65    89.66 0.0000 0.0000
103   20   4.54   25.82    66.59 0.0000 0.0000
109   22   3.81   55.11    67.18 0.0000 0.0000
 23   23   3.81    2.17    66.81 0.0000 0.0000
 51   24   3.43   73.71    50.96 0.0000 0.0000
 64   27   2.84   13.33    60.34 0.0000 0.0000
 35   28   2.83   27.49    68.90 0.0000 0.0000
 12   30   1.80   46.82    81.08 0.0000 0.0000
112   33   1.66   17.13    70.03 0.0000 0.0000
127   48   0.51   13.78    77.09 0.0000 0.0000
 17   57   0.39    1.58    98.74 0.0000 0.0000
 41   61   0.35    4.63    98.09 0.0000 0.0000
 92   76   0.11    0.87    63.61 0.0000 0.0000


rank=2 frame=  1093 pock_score=  2114.457 pock_space=1541.0420427322388 main_name=001-002-003-004-005-006-007-008 minor_name=010-011
id  rank socre   space  mnpr%80   occu  m_occu
 24    1  79.64  258.98    78.00 0.0000 0.0000
122    2  71.21  233.03    58.19 0.0000 0.0000
 48    3  67.27  144.32    85.57 0.0000 0.0000
 72    4  48.69  181.64    86.85 0.0000 0.0000
141    5  44.08  227.78    95.48 0.0000 0.0000
 60    6  42.15  166.08    72.42 0.0000 0.0000
 83    7  35.77   76.55    45.28 0.0000 0.0000
 39    8  34.91  164.97    59.22 0.0000 0.0000
119    9  18.51   52.46    51.62 0.0000 0.0000
 97   10  16.96   35.24    72.70 0.0000 0.0000
134   14   8.04    7.24    89.66 0.0000 0.0000
109   22   3.81   19.57    67.18 0.0000 0.0000
 12   30   1.80   72.68    81.08 0.0000 0.0000
 71   34   1.54   10.46    67.04 0.0000 0.0000
113   39   1.08    6.12    69.09 0.0000 0.0000
 87   42   0.79    2.78    44.80 0.0000 0.0000
127   48   0.51    5.07    77.09 0.0000 0.0000
 82   63   0.27    4.31    49.39 0.0000 0.0000
 31   67   0.22    2.42    53.12 0.0000 0.0000
137   70   0.17   10.41    96.66 0.0000 0.0000


rank=3 frame=  1743 pock_score=  2070.741 pock_space=1390.5399932861328 main_name=001-002-003-004-005-006-007-008 minor_name=010
id  rank socre   space  mnpr%80   occu  m_occu
 24    1  79.64  219.12    78.00 0.0000 0.0000
122    2  71.21  144.67    58.19 0.0000 0.0000
 48    3  67.27  213.67    85.57 0.0000 0.0000
 72    4  48.69   78.55    86.85 0.0000 0.0000
141    5  44.08  161.65    95.48 0.0000 0.0000
 60    6  42.15  136.15    72.42 0.0000 0.0000
 83    7  35.77   45.32    45.28 0.0000 0.0000
 39    8  34.91  164.26    59.22 0.0000 0.0000
119    9  18.51   94.49    51.62 0.0000 0.0000
 97   10  16.96   70.21    72.70 0.0000 0.0000
101   11  16.18   62.45    75.39 0.0000 0.0000
134   14   8.04   15.41    89.66 0.0000 0.0000
 64   27   2.84    1.84    60.34 0.0000 0.0000
111   31   1.80   11.01    83.64 0.0000 0.0000
110   37   1.23    0.27    80.12 0.0000 0.0000
 19   38   1.10    8.39    84.40 0.0000 0.0000
113   39   1.08    0.01    69.09 0.0000 0.0000
 17   57   0.39    2.20    98.74 0.0000 0.0000
 61   62   0.34   45.89    85.90 0.0000 0.0000


rank=4 frame=  1261 pock_score=  2064.964 pock_space=1334.4685897827148 main_name=001-002-003-004-005-006-007-008 minor_name=009
id  rank socre   space  mnpr%80   occu  m_occu
 24    1  79.64  247.32    78.00 0.0000 0.0000
122    2  71.21  197.09    58.19 0.0000 0.0000
 48    3  67.27  200.59    85.57 0.0000 0.0000
 72    4  48.69  124.80    86.85 0.0000 0.0000
141    5  44.08  145.81    95.48 0.0000 0.0000
 60    6  42.15  155.62    72.42 0.0000 0.0000
 83    7  35.77   53.10    45.28 0.0000 0.0000
 39    8  34.91   65.52    59.22 0.0000 0.0000
119    9  18.51   72.74    51.62 0.0000 0.0000
 97   10  16.96   71.89    72.70 0.0000 0.0000
 57   13   8.77    1.02    94.91 0.0000 0.0000
134   14   8.04    7.28    89.66 0.0000 0.0000
103   20   4.54   18.00    66.59 0.0000 0.0000
 35   28   2.83   13.77    68.90 0.0000 0.0000
110   37   1.23   25.84    80.12 0.0000 0.0000
113   39   1.08    3.85    69.09 0.0000 0.0000
 87   42   0.79    3.52    44.80 0.0000 0.0000
127   48   0.51    2.58    77.09 0.0000 0.0000


rank=5 frame=  1162 pock_score=  2051.657 pock_space=1454.5989360809326 main_name=001-002-003-004-005-006-007-008 minor_name=009-010-011
id  rank socre   space  mnpr%80   occu  m_occu
 24    1  79.64  217.39    78.00 0.0000 0.0000
122    2  71.21  238.94    58.19 0.0000 0.0000
 48    3  67.27  169.29    85.57 0.0000 0.0000
 72    4  48.69  156.22    86.85 0.0000 0.0000
141    5  44.08  205.93    95.48 0.0000 0.0000
 60    6  42.15  232.20    72.42 0.0000 0.0000
 83    7  35.77   20.56    45.28 0.0000 0.0000
 39    8  34.91   66.70    59.22 0.0000 0.0000
119    9  18.51   78.05    51.62 0.0000 0.0000
 97   10  16.96   69.30    72.70 0.0000 0.0000
 14   15   7.74   61.69    81.37 0.0000 0.0000
103   20   4.54   19.46    66.59 0.0000 0.0000
139   21   4.35   19.85    91.53 0.0000 0.0000
 56   26   3.27    5.96    92.18 0.0000 0.0000
 35   28   2.83   20.09    68.90 0.0000 0.0000
132   29   2.36    6.12    93.24 0.0000 0.0000
 11   32   1.77   12.32    71.84 0.0000 0.0000
113   39   1.08    1.18    69.09 0.0000 0.0000
 20   41   0.88   12.50    87.98 0.0000 0.0000
 87   42   0.79    0.25    44.80 0.0000 0.0000
 59   52   0.46    2.06    64.00 0.0000 0.0000
 41   61   0.35    8.98    98.09 0.0000 0.0000
 13   73   0.14    9.99    62.90 0.0000 0.0000
 86   80   0.10    2.39    34.08 0.0000 0.0000
108  110   0.00    0.43    68.15 0.0000 0.0000


rank=6 frame=  1711 pock_score=  2031.474 pock_space=1362.3274002075195 main_name=001-002-003-004-005-006-007-008 minor_name=none
id  rank socre   space  mnpr%80   occu  m_occu
 24    1  79.64  170.28    78.00 0.0000 0.0000
122    2  71.21  196.97    58.19 0.0000 0.0000
 48    3  67.27  232.01    85.57 0.0000 0.0000
 72    4  48.69   82.29    86.85 0.0000 0.0000
141    5  44.08  152.11    95.48 0.0000 0.0000
 60    6  42.15  124.82    72.42 0.0000 0.0000
 83    7  35.77   71.69    45.28 0.0000 0.0000
 39    8  34.91  103.97    59.22 0.0000 0.0000
119    9  18.51   77.14    51.62 0.0000 0.0000
 97   10  16.96  107.32    72.70 0.0000 0.0000
101   11  16.18   43.74    75.39 0.0000 0.0000
 14   15   7.74   91.97    81.37 0.0000 0.0000
109   22   3.81   30.29    67.18 0.0000 0.0000
 51   24   3.43   46.94    50.96 0.0000 0.0000
 35   28   2.83    5.87    68.90 0.0000 0.0000
132   29   2.36    1.87    93.24 0.0000 0.0000
112   33   1.66   13.15    70.03 0.0000 0.0000
 19   38   1.10    2.41    84.40 0.0000 0.0000
127   48   0.51   51.34    77.09 0.0000 0.0000
